Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,137,7,Some Random Commen with Id 0
1,0,7,16,6,Some Random Commen with Id 1
2,0,7,19,3,Some Random Commen with Id 2
3,0,7,136,5,Some Random Commen with Id 3
4,0,7,178,0,Some Random Commen with Id 4
5,0,7,175,6,Some Random Commen with Id 5
6,1,7,70,7,Some Random Commen with Id 6
7,1,7,178,9,Some Random Commen with Id 7
8,1,7,6,3,Some Random Commen with Id 8
9,1,7,157,5,Some Random Commen with Id 9
10,1,7,160,9,Some Random Commen with Id 10
11,1,7,140,1,Some Random Commen with Id 11
12,1,7,63,2,Some Random Commen with Id 12
13,1,7,123,5,Some Random Commen with Id 13
14,1,7,98,9,Some Random Commen with Id 14
15,3,3,81,0,Some Random Commen with Id 15
16,3,3,7,2,Some Random Commen with Id 16
17,3,3,20,7,Some Random Commen with Id 17
18,3,3,111,4,Some Random Commen with Id 18
19,3,3,96,8,Some Random Commen with Id 19
20,3,3,39,8,Some Random Commen with Id 20
21,3,3,105,1,Some Random Commen with Id 21
22,3,3,195,7,Some Random Commen with Id 22
23,3,3,96,7,Some Random Commen with Id 23
24,4,3,153,7,Some Random Commen with Id 24
25,4,3,187,0,Some Random Commen with Id 25
26,4,3,135,2,Some Random Commen with Id 26
27,4,3,91,5,Some Random Commen with Id 27
28,4,3,160,2,Some Random Commen with Id 28
29,4,3,123,3,Some Random Commen with Id 29
30,4,3,35,9,Some Random Commen with Id 30
31,4,3,151,2,Some Random Commen with Id 31
32,5,9,136,2,Some Random Commen with Id 32
33,5,9,58,4,Some Random Commen with Id 33
34,5,9,106,6,Some Random Commen with Id 34
35,5,9,41,8,Some Random Commen with Id 35
36,6,6,41,7,Some Random Commen with Id 36
37,6,6,24,3,Some Random Commen with Id 37
38,6,6,135,8,Some Random Commen with Id 38
39,6,6,82,4,Some Random Commen with Id 39
40,6,6,154,7,Some Random Commen with Id 40
41,6,6,65,6,Some Random Commen with Id 41
42,6,6,77,9,Some Random Commen with Id 42
43,6,6,180,5,Some Random Commen with Id 43
44,6,6,131,5,Some Random Commen with Id 44
45,8,4,38,3,Some Random Commen with Id 45
46,8,4,149,5,Some Random Commen with Id 46
47,8,4,19,7,Some Random Commen with Id 47
48,9,3,38,4,Some Random Commen with Id 48
49,9,3,155,2,Some Random Commen with Id 49
50,9,3,187,8,Some Random Commen with Id 50
51,9,3,140,2,Some Random Commen with Id 51
52,10,0,30,0,Some Random Commen with Id 52
53,10,0,102,1,Some Random Commen with Id 53
54,10,0,58,5,Some Random Commen with Id 54
55,10,0,181,7,Some Random Commen with Id 55
56,10,0,159,9,Some Random Commen with Id 56
57,11,9,22,0,Some Random Commen with Id 57
58,11,9,133,9,Some Random Commen with Id 58
59,11,9,157,7,Some Random Commen with Id 59
60,11,9,29,2,Some Random Commen with Id 60
61,11,9,51,8,Some Random Commen with Id 61
62,11,9,173,9,Some Random Commen with Id 62
63,11,9,186,2,Some Random Commen with Id 63
64,11,9,130,6,Some Random Commen with Id 64
65,12,0,73,6,Some Random Commen with Id 65
66,12,0,25,9,Some Random Commen with Id 66
67,12,0,158,2,Some Random Commen with Id 67
68,12,0,169,3,Some Random Commen with Id 68
69,12,0,195,7,Some Random Commen with Id 69
70,13,2,72,2,Some Random Commen with Id 70
71,13,2,95,8,Some Random Commen with Id 71
72,13,2,113,6,Some Random Commen with Id 72
73,13,2,77,3,Some Random Commen with Id 73
74,13,2,37,5,Some Random Commen with Id 74
75,13,2,108,8,Some Random Commen with Id 75
76,14,2,106,8,Some Random Commen with Id 76
77,14,2,46,9,Some Random Commen with Id 77
78,14,2,109,4,Some Random Commen with Id 78
79,14,2,105,9,Some Random Commen with Id 79
80,14,2,55,5,Some Random Commen with Id 80
81,14,2,158,8,Some Random Commen with Id 81
82,14,2,31,1,Some Random Commen with Id 82
83,14,2,80,7,Some Random Commen with Id 83
84,14,2,105,8,Some Random Commen with Id 84
85,15,5,71,9,Some Random Commen with Id 85
86,15,5,46,0,Some Random Commen with Id 86
87,15,5,72,1,Some Random Commen with Id 87
88,15,5,126,7,Some Random Commen with Id 88
89,15,5,71,0,Some Random Commen with Id 89
90,15,5,161,2,Some Random Commen with Id 90
91,15,5,136,6,Some Random Commen with Id 91
92,15,5,150,7,Some Random Commen with Id 92
93,16,5,60,9,Some Random Commen with Id 93
94,16,5,50,9,Some Random Commen with Id 94
95,16,5,90,0,Some Random Commen with Id 95
96,16,5,31,5,Some Random Commen with Id 96
97,16,5,106,1,Some Random Commen with Id 97
98,17,7,23,2,Some Random Commen with Id 98
99,17,7,171,1,Some Random Commen with Id 99
100,17,7,96,9,Some Random Commen with Id 100
101,17,7,101,9,Some Random Commen with Id 101
102,17,7,29,5,Some Random Commen with Id 102
103,17,7,167,9,Some Random Commen with Id 103
104,17,7,22,9,Some Random Commen with Id 104
105,17,7,118,3,Some Random Commen with Id 105
106,18,3,190,5,Some Random Commen with Id 106
107,18,3,142,7,Some Random Commen with Id 107
108,18,3,16,9,Some Random Commen with Id 108
109,18,3,85,2,Some Random Commen with Id 109
110,19,3,163,6,Some Random Commen with Id 110
111,19,3,24,9,Some Random Commen with Id 111
112,20,8,38,1,Some Random Commen with Id 112
113,20,8,187,0,Some Random Commen with Id 113
114,20,8,141,9,Some Random Commen with Id 114
115,20,8,141,2,Some Random Commen with Id 115
116,20,8,191,7,Some Random Commen with Id 116
117,20,8,5,1,Some Random Commen with Id 117
118,20,8,59,0,Some Random Commen with Id 118
119,20,8,140,6,Some Random Commen with Id 119
120,21,3,83,8,Some Random Commen with Id 120
121,21,3,140,8,Some Random Commen with Id 121
122,23,5,25,0,Some Random Commen with Id 122
123,23,5,144,3,Some Random Commen with Id 123
124,23,5,89,4,Some Random Commen with Id 124
125,23,5,6,7,Some Random Commen with Id 125
126,23,5,179,5,Some Random Commen with Id 126
127,23,5,166,6,Some Random Commen with Id 127
128,24,1,76,4,Some Random Commen with Id 128
129,25,4,32,8,Some Random Commen with Id 129
130,25,4,171,2,Some Random Commen with Id 130
131,25,4,54,2,Some Random Commen with Id 131
132,25,4,168,1,Some Random Commen with Id 132
133,25,4,67,8,Some Random Commen with Id 133
134,25,4,90,3,Some Random Commen with Id 134
135,26,4,22,0,Some Random Commen with Id 135
136,26,4,4,5,Some Random Commen with Id 136
137,26,4,5,9,Some Random Commen with Id 137
138,26,4,197,3,Some Random Commen with Id 138
139,26,4,165,1,Some Random Commen with Id 139
140,26,4,147,3,Some Random Commen with Id 140
141,26,4,83,2,Some Random Commen with Id 141
142,27,4,194,3,Some Random Commen with Id 142
143,27,4,11,8,Some Random Commen with Id 143
144,28,6,171,7,Some Random Commen with Id 144
145,28,6,143,0,Some Random Commen with Id 145
146,28,6,111,2,Some Random Commen with Id 146
147,28,6,19,9,Some Random Commen with Id 147
148,28,6,198,8,Some Random Commen with Id 148
149,28,6,144,7,Some Random Commen with Id 149
150,29,8,173,7,Some Random Commen with Id 150
151,29,8,8,3,Some Random Commen with Id 151
152,29,8,99,9,Some Random Commen with Id 152
153,29,8,96,3,Some Random Commen with Id 153
154,29,8,144,2,Some Random Commen with Id 154
155,29,8,69,8,Some Random Commen with Id 155
156,29,8,135,8,Some Random Commen with Id 156
157,29,8,79,4,Some Random Commen with Id 157
158,30,0,86,9,Some Random Commen with Id 158
159,30,0,197,2,Some Random Commen with Id 159
160,30,0,78,3,Some Random Commen with Id 160
161,30,0,124,2,Some Random Commen with Id 161
162,31,2,130,0,Some Random Commen with Id 162
163,31,2,125,4,Some Random Commen with Id 163
164,31,2,150,0,Some Random Commen with Id 164
165,33,8,122,8,Some Random Commen with Id 165
166,33,8,190,3,Some Random Commen with Id 166
167,33,8,80,7,Some Random Commen with Id 167
168,33,8,182,6,Some Random Commen with Id 168
169,33,8,192,4,Some Random Commen with Id 169
170,33,8,150,6,Some Random Commen with Id 170
171,34,4,6,6,Some Random Commen with Id 171
172,34,4,148,2,Some Random Commen with Id 172
173,34,4,105,0,Some Random Commen with Id 173
